Feature,Model Args,Test Acc
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 1,0.3833333760499954
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 2,0.3859649568796158
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 3,0.384429869055748
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 1,0.3859649568796158
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 2,0.3785088092088699
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 3,0.37894740104675295
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 1,0.38004390001297
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 2,0.38026319444179535
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 3,0.3706140697002411
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 1,0.37916670441627504
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 2,0.377631613612175
chameleon-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 3,0.3651316165924072
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 1,0.7324323773384094
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 2,0.5891891732811928
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 3,0.4972972735762597
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 1,0.7918918669223786
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 2,0.7783783435821533
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 3,0.7675675213336944
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 1,0.7864864468574524
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 2,0.7648648440837859
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 3,0.6189189016819
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 1,0.7864864647388459
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 2,0.7837837517261506
cornell-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 3,0.7783783435821533
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 1,0.3498684227466583
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 2,0.35085526406764983
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 3,0.3246710509061813
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 1,0.3524342089891433
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 2,0.3507894724607468
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 3,0.3539473652839661
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 1,0.3520394712686539
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 2,0.3496710538864136
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 3,0.3438815802335739
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 1,0.3505921006202698
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 2,0.3521052628755569
film-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 1 --norm_layers 3,0.3507236838340759
ind.citeseer-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 1,0.7329786241054534
ind.citeseer-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 2,0.7205999314785003
ind.citeseer-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 0.1 --norm_layers 3,0.628845539689064
ind.citeseer-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 1,0.7325739085674285
ind.citeseer-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 2,0.7320363938808441
ind.citeseer-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 0.1 --beta 1 --norm_layers 3,0.7338463485240936
ind.citeseer-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 1,0.7305718779563903
ind.citeseer-unmodified,--model mlp_norm --hidden1 64 --early_stopping 40 --alpha 1 --beta 0.1 --norm_layers 2,0.7321380078792572
