Feature,Model Args,Test Acc
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.20723682790994644
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.20767542719841003
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.3192982658743858
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 10,0.2074561282992363
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 20,0.20350876152515412
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 5,0.43421056866645813
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 10,0.2089912176132202
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 20,0.20701753348112106
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 5,0.2798245668411255
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 10,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 20,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 5,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 10,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 20,0.5891891658306122
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 5,0.5891891658306122
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.30401315689086916
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.25960526019334795
film-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.3005263090133667
film-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 10,0.3003289461135864
film-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 20,0.2580263152718544
film-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 5,0.30348684191703795
film-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 10,0.30059210360050204
film-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 20,0.25980262607336047
film-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 5,0.3030263125896454
ind.citeseer-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.5249720260500907
ind.citeseer-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.23897551298141478
ind.citeseer-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.7617602705955505
ind.citeseer-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 10,0.5672203361988067
ind.citeseer-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 20,0.292656210064888
ind.citeseer-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 5,0.7602059721946717
ind.citeseer-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 10,0.4273295566439629
ind.citeseer-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 20,0.23704083561897277
ind.citeseer-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 5,0.7637035727500916
ind.cora-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.8690136730670929
ind.cora-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.8625750422477723
ind.cora-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.8676052272319794
ind.cora-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 10,0.8700196981430054
ind.cora-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 20,0.8641847133636474
ind.cora-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 5,0.8706233680248261
ind.cora-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 10,0.8680076360702514
ind.cora-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 20,0.8388325691223144
ind.cora-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 5,0.870220935344696
ind.pubmed-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.870515763759613
ind.pubmed-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.8701354801654816
ind.pubmed-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.8702622294425965
ind.pubmed-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 10,0.8714031994342804
ind.pubmed-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 20,0.8707440197467804
ind.pubmed-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 5,0.8718849837779998
ind.pubmed-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 10,0.8699833571910858
ind.pubmed-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 20,0.8688930630683899
ind.pubmed-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 5,0.8707439780235291
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.19846297949552535
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.1983669176697731
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.1983669176697731
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 10,0.1983669176697731
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 20,0.1983669176697731
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 5,0.1983669176697731
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 10,0.1983669176697731
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 20,0.1983669176697731
squirrel-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 5,0.1983669176697731
texas-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.5891891688108444
texas-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.5891891688108444
texas-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.5891891688108444
texas-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 10,0.5891891688108444
texas-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 20,0.5891891688108444
texas-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 5,0.5891891688108444
texas-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 10,0.5891891688108444
texas-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 20,0.5891891688108444
texas-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 5,0.5891891688108444
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.4627451002597809
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.4627451002597809
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.4627451002597809
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 10,0.4627451002597809
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 20,0.4627451002597809
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 200  --beta 0.1 --alpha 5,0.4627451002597809
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 10,0.4627451002597809
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 20,0.4627451002597809
wisconsin-unmodified,--model gcn --hidden1 64 --early_stopping 40  --beta 0.1 --alpha 5,0.4627451002597809
