Feature,Model Args,Test Acc
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 10,0.5635965943336487
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 20,0.5403509646654129
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 5,0.569079053401947
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 10,0.5712720155715942
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 20,0.5620615184307098
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 5,0.5837720334529877
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 10,0.5565790355205535
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 20,0.5206141203641892
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 5,0.5620615065097809
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 10,0.5891891717910767
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 20,0.5891891717910767
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 5,0.5810810685157776
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 10,0.5378378242254257
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 20,0.5351351231336594
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 5,0.5405405253171921
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 10,0.583783757686615
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 20,0.5864864647388458
cornell-unmodified,--model gcn --hidden1 64 --early_stopping 40  --alpha 0.1 --beta 5,0.5864864587783813
