Feature,Model Args,Test Acc
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 10,0.5635965943336487
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 20,0.5403509646654129
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 0.1 --beta 5,0.569079053401947
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 1 --beta 10,0.5627193987369538
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 1 --beta 20,0.5405702799558639
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --alpha 1 --beta 5,0.5701755404472351
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 10,0.20723682790994646
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 20,0.20767542719841006
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 0.1 --alpha 5,0.3192982658743858
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 1 --alpha 10,0.44605268239974977
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 1 --alpha 20,0.3778509110212326
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 100  --beta 1 --alpha 5,0.5138158619403839
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 10,0.5712720155715942
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 20,0.5620615184307098
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 0.1 --beta 5,0.5837720334529877
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 1 --beta 10,0.5655702650547028
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 1 --beta 20,0.5611843049526215
chameleon-unmodified,--model gcn --hidden1 64 --early_stopping 200  --alpha 1 --beta 5,0.5767544806003571
