nohup: ignoring input
Using backend: pytorch
Namespace(SGD=False, adam=False, alpha=0.0, beta=1.0, cached=False, cpu=False, dataset='arxiv-year', delta=0.1, directed=True, display_step=1, dropout=0.6, epochs=100, gamma=0.6, gat_heads=8, gcn2_alpha=0.1, gpr_alpha=0.1, hidden_channels=256, hops=1, inner_activation=False, inner_dropout=False, jk_type='max', link_init_layers_A=1, link_init_layers_X=1, lp_alpha=0.1, lr=0.005, method='mlpnorm', no_bn=False, norm_func_id=1, norm_layers=1, num_layers=2, num_mlp_layers=1, orders=1, orders_func_id=2, print_prop=False, rand_split=False, rocauc=False, runs=5, sampling=False, sub_dataset='', theta=0.5, train_prop=0.5, valid_prop=0.25, weight_decay=0.001)
num nodes 169343 | num classes 5 | num node feats 128
MODEL: MLPNORM(
  (fc1): Linear(in_features=128, out_features=256, bias=True)
  (fc2): Linear(in_features=256, out_features=5, bias=True)
  (fc3): Linear(in_features=256, out_features=256, bias=True)
  (fc4): Linear(in_features=169343, out_features=256, bias=True)
)
Epoch: 00, Loss: 1.6108, Train: 28.81%, Valid: 28.62%, Test: 28.90%
Epoch: 01, Loss: 1.5827, Train: 28.75%, Valid: 28.56%, Test: 28.83%
Epoch: 02, Loss: 1.5324, Train: 28.77%, Valid: 28.57%, Test: 28.85%
Epoch: 03, Loss: 1.4782, Train: 29.73%, Valid: 29.19%, Test: 29.50%
Epoch: 04, Loss: 1.4303, Train: 37.41%, Valid: 33.23%, Test: 33.74%
Epoch: 05, Loss: 1.3610, Train: 49.29%, Valid: 42.44%, Test: 43.19%
Epoch: 06, Loss: 1.3038, Train: 57.69%, Valid: 48.32%, Test: 49.02%
Epoch: 07, Loss: 1.2332, Train: 60.74%, Valid: 51.38%, Test: 51.73%
Epoch: 08, Loss: 1.1568, Train: 61.58%, Valid: 51.79%, Test: 52.15%
Epoch: 09, Loss: 1.0865, Train: 64.39%, Valid: 52.67%, Test: 53.04%
Epoch: 10, Loss: 1.0049, Train: 67.21%, Valid: 52.95%, Test: 53.45%
Epoch: 11, Loss: 0.9392, Train: 68.66%, Valid: 53.33%, Test: 53.68%
Epoch: 12, Loss: 0.8712, Train: 69.70%, Valid: 53.54%, Test: 53.85%
Epoch: 13, Loss: 0.8087, Train: 72.57%, Valid: 53.92%, Test: 54.32%
Epoch: 14, Loss: 0.7519, Train: 76.58%, Valid: 53.96%, Test: 54.31%
Epoch: 15, Loss: 0.7023, Train: 80.18%, Valid: 54.49%, Test: 54.57%
Epoch: 16, Loss: 0.6557, Train: 81.84%, Valid: 54.39%, Test: 54.67%
Epoch: 17, Loss: 0.6120, Train: 83.13%, Valid: 54.54%, Test: 54.81%
Epoch: 18, Loss: 0.5726, Train: 84.01%, Valid: 54.49%, Test: 54.59%
Epoch: 19, Loss: 0.5351, Train: 85.00%, Valid: 54.41%, Test: 54.35%
Epoch: 20, Loss: 0.5036, Train: 85.78%, Valid: 54.12%, Test: 54.19%
Epoch: 21, Loss: 0.4738, Train: 86.57%, Valid: 54.01%, Test: 54.16%
Epoch: 22, Loss: 0.4458, Train: 87.25%, Valid: 53.86%, Test: 53.97%
Epoch: 23, Loss: 0.4224, Train: 87.69%, Valid: 53.72%, Test: 53.74%
Epoch: 24, Loss: 0.4020, Train: 88.25%, Valid: 53.63%, Test: 53.75%
Epoch: 25, Loss: 0.3819, Train: 88.63%, Valid: 53.53%, Test: 53.71%
Epoch: 26, Loss: 0.3647, Train: 88.95%, Valid: 53.40%, Test: 53.63%
Epoch: 27, Loss: 0.3519, Train: 89.21%, Valid: 53.25%, Test: 53.39%
Epoch: 28, Loss: 0.3380, Train: 89.54%, Valid: 53.24%, Test: 53.50%
Epoch: 29, Loss: 0.3260, Train: 89.74%, Valid: 53.17%, Test: 53.51%
Epoch: 30, Loss: 0.3154, Train: 90.01%, Valid: 53.02%, Test: 53.44%
Epoch: 31, Loss: 0.3049, Train: 90.15%, Valid: 52.99%, Test: 53.30%
Epoch: 32, Loss: 0.2963, Train: 90.39%, Valid: 53.04%, Test: 53.32%
Epoch: 33, Loss: 0.2897, Train: 90.56%, Valid: 52.83%, Test: 53.28%
Epoch: 34, Loss: 0.2823, Train: 90.70%, Valid: 52.75%, Test: 53.16%
Epoch: 35, Loss: 0.2755, Train: 90.84%, Valid: 52.72%, Test: 53.05%
Epoch: 36, Loss: 0.2695, Train: 90.95%, Valid: 52.75%, Test: 53.05%
Epoch: 37, Loss: 0.2658, Train: 91.07%, Valid: 52.72%, Test: 53.12%
Epoch: 38, Loss: 0.2604, Train: 91.18%, Valid: 52.71%, Test: 53.07%
Epoch: 39, Loss: 0.2561, Train: 91.27%, Valid: 52.60%, Test: 52.98%
Epoch: 40, Loss: 0.2523, Train: 91.34%, Valid: 52.53%, Test: 52.97%
Epoch: 41, Loss: 0.2490, Train: 91.37%, Valid: 52.49%, Test: 52.99%
Epoch: 42, Loss: 0.2451, Train: 91.45%, Valid: 52.47%, Test: 52.94%
Epoch: 43, Loss: 0.2427, Train: 91.55%, Valid: 52.43%, Test: 52.90%
Epoch: 44, Loss: 0.2395, Train: 91.61%, Valid: 52.41%, Test: 52.93%
Epoch: 45, Loss: 0.2369, Train: 91.64%, Valid: 52.39%, Test: 52.93%
Epoch: 46, Loss: 0.2353, Train: 91.73%, Valid: 52.41%, Test: 52.94%
Epoch: 47, Loss: 0.2325, Train: 91.79%, Valid: 52.35%, Test: 52.79%
Epoch: 48, Loss: 0.2305, Train: 91.90%, Valid: 52.33%, Test: 52.77%
Epoch: 49, Loss: 0.2288, Train: 91.92%, Valid: 52.27%, Test: 52.74%
Epoch: 50, Loss: 0.2272, Train: 91.94%, Valid: 52.34%, Test: 52.75%
Epoch: 51, Loss: 0.2254, Train: 91.99%, Valid: 52.39%, Test: 52.76%
Epoch: 52, Loss: 0.2247, Train: 92.02%, Valid: 52.35%, Test: 52.76%
Epoch: 53, Loss: 0.2228, Train: 92.07%, Valid: 52.35%, Test: 52.71%
Epoch: 54, Loss: 0.2209, Train: 92.10%, Valid: 52.28%, Test: 52.64%
Epoch: 55, Loss: 0.2198, Train: 92.16%, Valid: 52.26%, Test: 52.66%
Epoch: 56, Loss: 0.2189, Train: 92.16%, Valid: 52.28%, Test: 52.67%
Epoch: 57, Loss: 0.2183, Train: 92.16%, Valid: 52.28%, Test: 52.64%
Epoch: 58, Loss: 0.2160, Train: 92.21%, Valid: 52.29%, Test: 52.60%
Epoch: 59, Loss: 0.2164, Train: 92.27%, Valid: 52.24%, Test: 52.53%
Epoch: 60, Loss: 0.2147, Train: 92.31%, Valid: 52.23%, Test: 52.51%
Epoch: 61, Loss: 0.2144, Train: 92.33%, Valid: 52.25%, Test: 52.54%
Epoch: 62, Loss: 0.2134, Train: 92.33%, Valid: 52.26%, Test: 52.54%
Epoch: 63, Loss: 0.2119, Train: 92.37%, Valid: 52.28%, Test: 52.51%
Epoch: 64, Loss: 0.2111, Train: 92.42%, Valid: 52.21%, Test: 52.46%
Epoch: 65, Loss: 0.2110, Train: 92.44%, Valid: 52.17%, Test: 52.53%
Epoch: 66, Loss: 0.2109, Train: 92.44%, Valid: 52.12%, Test: 52.49%
Epoch: 67, Loss: 0.2084, Train: 92.47%, Valid: 52.15%, Test: 52.49%
Epoch: 68, Loss: 0.2091, Train: 92.49%, Valid: 52.20%, Test: 52.50%
Epoch: 69, Loss: 0.2077, Train: 92.49%, Valid: 52.22%, Test: 52.51%
Epoch: 70, Loss: 0.2070, Train: 92.52%, Valid: 52.16%, Test: 52.49%
Epoch: 71, Loss: 0.2060, Train: 92.53%, Valid: 52.14%, Test: 52.46%
Epoch: 72, Loss: 0.2065, Train: 92.54%, Valid: 52.16%, Test: 52.46%
Epoch: 73, Loss: 0.2037, Train: 92.54%, Valid: 52.15%, Test: 52.50%
Epoch: 74, Loss: 0.2054, Train: 92.58%, Valid: 52.19%, Test: 52.52%
Epoch: 75, Loss: 0.2044, Train: 92.61%, Valid: 52.21%, Test: 52.51%
Epoch: 76, Loss: 0.2041, Train: 92.64%, Valid: 52.14%, Test: 52.49%
Epoch: 77, Loss: 0.2022, Train: 92.64%, Valid: 52.21%, Test: 52.45%
Epoch: 78, Loss: 0.2030, Train: 92.67%, Valid: 52.19%, Test: 52.41%
Epoch: 79, Loss: 0.2026, Train: 92.70%, Valid: 52.19%, Test: 52.47%
Epoch: 80, Loss: 0.2009, Train: 92.73%, Valid: 52.19%, Test: 52.49%
Epoch: 81, Loss: 0.2013, Train: 92.76%, Valid: 52.25%, Test: 52.49%
Epoch: 82, Loss: 0.2011, Train: 92.79%, Valid: 52.20%, Test: 52.48%
Epoch: 83, Loss: 0.1999, Train: 92.79%, Valid: 52.18%, Test: 52.50%
