nohup: ignoring input
Using backend: pytorch
Namespace(SGD=False, adam=False, alpha=0.1, beta=0.01, cached=False, cpu=False, dataset='arxiv-year', decay_rate=1.0, delta=0.1, directed=True, display_step=1, dropout=0.7, epochs=100, exponent=3.0, gamma=0.7, gat_heads=8, gcn2_alpha=0.1, gpr_alpha=0.1, hidden_channels=256, hops=1, inner_activation=False, inner_dropout=False, jk_type='max', link_init_layers_A=1, link_init_layers_X=1, lp_alpha=0.1, lr=0.005, method='mlpnorm', no_bn=False, norm_func_id=2, norm_layers=1, num_layers=2, num_mlp_layers=1, orders=1, orders_func_id=2, print_prop=False, rand_split=False, rocauc=False, runs=5, sampling=False, sub_dataset='', theta=0.5, train_prop=0.5, valid_prop=0.25, weight_decay=0.1)
num nodes 169343 | num classes 5 | num node feats 128
MODEL: MLPNORM(
  (fc1): Linear(in_features=128, out_features=256, bias=True)
  (fc2): Linear(in_features=256, out_features=5, bias=True)
  (fc3): Linear(in_features=256, out_features=256, bias=True)
  (fc4): Linear(in_features=169343, out_features=256, bias=True)
)
Epoch: 00, Loss: 1.6128, Train: 30.11%, Valid: 29.53%, Test: 30.21%
Epoch: 01, Loss: 1.5929, Train: 29.19%, Valid: 28.89%, Test: 29.21%
Epoch: 02, Loss: 1.5552, Train: 28.72%, Valid: 28.54%, Test: 28.82%
Epoch: 03, Loss: 1.5029, Train: 28.72%, Valid: 28.54%, Test: 28.82%
Epoch: 04, Loss: 1.4768, Train: 28.87%, Valid: 28.71%, Test: 29.01%
Epoch: 05, Loss: 1.4282, Train: 32.97%, Valid: 31.56%, Test: 31.90%
Epoch: 06, Loss: 1.3754, Train: 47.98%, Valid: 41.44%, Test: 42.26%
Epoch: 07, Loss: 1.3392, Train: 56.10%, Valid: 47.39%, Test: 47.97%
Epoch: 08, Loss: 1.2945, Train: 58.90%, Valid: 50.44%, Test: 50.75%
Epoch: 09, Loss: 1.2387, Train: 58.78%, Valid: 50.76%, Test: 51.02%
Epoch: 10, Loss: 1.1893, Train: 59.52%, Valid: 51.03%, Test: 51.21%
Epoch: 11, Loss: 1.1391, Train: 62.44%, Valid: 51.98%, Test: 52.49%
Epoch: 12, Loss: 1.0765, Train: 65.88%, Valid: 52.79%, Test: 53.17%
