,dataset,lr,epoch,hidden,dropout,weight_decay,alpha,beta,gamma,norm_layers,orders,high_train,high_valid,final_train,final_test
0,arxiv-year,0.01,500,256,0.0,0.0,1.0,0.1,0.9,2,1,44.16,36.25,38.63,36.56
1,arxiv-year,0.01,500,256,0.0,0.0,1.0,0.1,0.9,2,2,49.11,43.67,48.74,43.50
2,arxiv-year,0.01,500,256,0.0,0.0,1.0,0.1,0.9,2,3,49.06,45.49,48.84,45.47
3,arxiv-year,0.01,500,256,0.0,0.0,1.0,1.0,0.9,2,1,47.49,41.00,47.15,41.29
4,arxiv-year,0.01,500,256,0.0,0.0,1.0,1.0,0.9,2,2,51.69,47.69,51.40,47.41
5,arxiv-year,0.01,500,256,0.0,0.0,1.0,1.0,0.9,2,3,44.88,44.28,44.76,44.28
6,arxiv-year,0.01,500,256,0.0,0.0,1.0,10.0,0.9,2,1,50.54,43.99,50.27,44.18
7,arxiv-year,0.01,500,256,0.0,0.0,1.0,10.0,0.9,2,2,49.30,47.00,49.30,47.15
8,arxiv-year,0.01,500,256,0.0,0.0,1.0,10.0,0.9,2,3,45.27,44.49,45.17,44.65
9,arxiv-year,0.01,500,256,0.0,0.0,1.0,100.0,0.9,2,1,51.62,46.11,51.31,46.13
10,arxiv-year,0.01,500,256,0.0,0.0,1.0,100.0,0.9,2,2,48.56,47.07,48.19,47.33
11,arxiv-year,0.01,500,256,0.0,0.0,1.0,100.0,0.9,2,3,43.50,42.60,43.33,43.22
12,arxiv-year,0.01,500,256,0.0,0.0,1.0,1000.0,0.9,2,1,49.13,45.80,48.89,46.09
13,arxiv-year,0.01,500,256,0.0,0.0,1.0,1000.0,0.9,2,2,43.09,42.73,43.08,42.72
14,arxiv-year,0.01,500,256,0.0,0.0,1.0,1000.0,0.9,2,3,42.48,42.13,42.48,42.57
15,pokec,0.01,500,256,0.0,0.0,1.0,0.1,0.9,2,1,61.73,61.78,61.73,61.65
16,pokec,0.01,500,256,0.0,0.0,1.0,0.1,0.9,2,2,61.73,61.78,61.73,61.67
17,pokec,0.01,500,256,0.0,0.0,1.0,0.1,0.9,2,3,62.86,62.87,62.86,62.85
18,pokec,0.01,500,256,0.0,0.0,1.0,1.0,0.9,2,1,62.03,62.07,62.02,61.89
19,pokec,0.01,500,256,0.0,0.0,1.0,1.0,0.9,2,2,62.19,62.22,62.19,62.02
20,pokec,0.01,500,256,0.0,0.0,1.0,1.0,0.9,2,3,62.42,62.37,62.42,62.33
21,pokec,0.01,500,256,0.0,0.0,1.0,10.0,0.9,2,1,61.79,61.82,61.79,61.65
22,pokec,0.01,500,256,0.0,0.0,1.0,10.0,0.9,2,2,64.55,64.48,64.55,64.43
23,pokec,0.01,500,256,0.0,0.0,1.0,10.0,0.9,2,3,68.50,68.58,68.50,68.46
24,pokec,0.01,500,256,0.0,0.0,1.0,100.0,0.9,2,1,61.88,61.88,61.88,61.84
25,pokec,0.01,500,256,0.0,0.0,1.0,100.0,0.9,2,2,64.90,64.93,64.90,64.82
26,pokec,0.01,500,256,0.0,0.0,1.0,100.0,0.9,2,3,69.93,69.90,69.86,69.81
27,pokec,0.01,500,256,0.0,0.0,1.0,1000.0,0.9,2,1,75.19,75.16,75.19,75.24
28,pokec,0.01,500,256,0.0,0.0,1.0,1000.0,0.9,2,2,73.45,73.45,73.44,73.43
29,pokec,0.01,500,256,0.0,0.0,1.0,1000.0,0.9,2,3,65.73,65.73,65.73,65.71
30,snap-patents,0.01,500,256,0.0,0.0,1.0,0.1,0.9,2,1,32.53,31.54,32.44,31.58
31,snap-patents,0.01,500,256,0.0,0.0,1.0,0.1,0.9,2,2,32.59,31.57,32.43,31.60
32,snap-patents,0.01,500,256,0.0,0.0,1.0,0.1,0.9,2,3,32.73,31.75,32.73,31.77
33,snap-patents,0.01,500,256,0.0,0.0,1.0,1.0,0.9,2,1,32.55,31.57,32.09,31.48
34,snap-patents,0.01,500,256,0.0,0.0,1.0,1.0,0.9,2,2,32.94,32.01,32.94,31.98
35,snap-patents,0.01,500,256,0.0,0.0,1.0,1.0,0.9,2,3,39.85,39.63,39.85,39.61
36,snap-patents,0.01,500,256,0.0,0.0,1.0,10.0,0.9,2,1,38.62,38.19,38.57,38.23
37,snap-patents,0.01,500,256,0.0,0.0,1.0,10.0,0.9,2,2,53.13,52.48,53.13,52.38
38,snap-patents,0.01,500,256,0.0,0.0,1.0,10.0,0.9,2,3,49.64,49.34,49.64,49.30
39,snap-patents,0.01,500,256,0.0,0.0,1.0,100.0,0.9,2,1,49.12,48.17,49.10,48.16
40,snap-patents,0.01,500,256,0.0,0.0,1.0,100.0,0.9,2,2,53.84,53.15,53.84,53.05
