,dataset,lr,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
0,chameleon,0.01,40,0.0005,1.0,1.0,0.2,2,5,0.44517543859649117
1,chameleon,0.01,200,0.0005,1.0,1.0,0.2,2,5,0.4585526315789473
2,chameleon,0.01,40,0.0,1.0,1.0,0.2,2,5,0.47609649122807013
3,chameleon,0.01,40,0.0005,0.1,1.0,0.2,2,5,0.44824561403508767
4,chameleon,0.01,40,0.0005,1.0,0.1,0.2,2,5,0.4469298245614035
5,chameleon,0.01,40,0.0005,1.0,1.0,0.8,2,5,0.4504385964912281
6,chameleon,0.001,40,0.0005,1.0,1.0,0.2,2,5,0.41864035087719287
7,chameleon,0.01,40,0.0005,1.0,1.0,0.2,1,5,0.4491228070175438
8,chameleon,0.01,40,0.0005,1.0,1.0,0.2,2,1,0.4504385964912281
9,chameleon,0.01,40,0.0005,1.0,1.0,0.2,2,3,0.4460526315789474
10,chameleon,0.1,40,0.0005,1.0,1.0,0.2,2,5,0.4442982456140351
11,citeseer,0.01,40,0.0005,1.0,0.1,0.2,2,5,0.7242963825872465
12,citeseer,0.1,40,0.0005,1.0,1.0,0.2,2,5,0.710998840846005
13,citeseer,0.01,40,0.0005,1.0,1.0,0.2,1,5,0.7233911759968411
14,citeseer,0.01,40,0.0005,0.1,1.0,0.2,2,5,0.7245980410261723
15,citeseer,0.01,40,0.0,1.0,1.0,0.2,2,5,0.7268373588016146
16,citeseer,0.01,40,0.0005,1.0,1.0,0.2,2,1,0.7237587725180135
17,citeseer,0.01,200,0.0005,1.0,1.0,0.2,2,5,0.7240797250464233
18,citeseer,0.01,40,0.0005,1.0,1.0,0.8,2,5,0.7255223351923212
19,citeseer,0.01,40,0.0005,1.0,1.0,0.2,2,3,0.7231374879721487
20,citeseer,0.01,40,0.0005,1.0,1.0,0.2,2,5,0.7247490991142477
21,citeseer,0.001,40,0.0005,1.0,1.0,0.2,2,5,0.7262718104009501
22,cora,0.01,40,0.0005,1.0,1.0,0.2,2,3,0.7448692152917504
23,cora,0.01,40,0.0005,1.0,1.0,0.8,2,5,0.7468812877263582
24,cora,0.01,40,0.0005,1.0,1.0,0.2,2,5,0.7464788732394365
25,cora,0.01,40,0.0005,1.0,0.1,0.2,2,5,0.7468812877263581
26,cora,0.01,40,0.0005,0.1,1.0,0.2,2,5,0.7468812877263582
27,cora,0.01,40,0.0005,1.0,1.0,0.2,2,1,0.7472837022132797
28,cora,0.01,40,0.0,1.0,1.0,0.2,2,5,0.7271629778672032
29,cora,0.01,200,0.0005,1.0,1.0,0.2,2,5,0.745271629778672
30,cora,0.01,40,0.0005,1.0,1.0,0.2,1,5,0.746076458752515
31,cora,0.1,40,0.0005,1.0,1.0,0.2,2,5,0.7392354124748493
32,cora,0.001,40,0.0005,1.0,1.0,0.2,2,5,0.7466800804828972
33,cornell,0.01,40,0.0005,0.1,1.0,0.2,2,5,0.7945945945945946
34,cornell,0.001,40,0.0005,1.0,1.0,0.2,2,5,0.7783783783783783
35,cornell,0.01,200,0.0005,1.0,1.0,0.2,2,5,0.7918918918918919
36,cornell,0.1,40,0.0005,1.0,1.0,0.2,2,5,0.7648648648648649
37,cornell,0.01,40,0.0005,1.0,1.0,0.2,2,5,0.8081081081081081
38,cornell,0.01,40,0.0005,1.0,0.1,0.2,2,5,0.8
39,cornell,0.01,40,0.0,1.0,1.0,0.2,2,5,0.7810810810810811
40,cornell,0.01,40,0.0005,1.0,1.0,0.2,2,3,0.8081081081081081
41,cornell,0.01,40,0.0005,1.0,1.0,0.2,2,1,0.7972972972972973
42,cornell,0.01,40,0.0005,1.0,1.0,0.2,1,5,0.7972972972972974
43,cornell,0.01,40,0.0005,1.0,1.0,0.8,2,5,0.7783783783783785
44,film,0.001,40,0.0005,1.0,1.0,0.2,2,5,0.3659210526315789
45,film,0.01,40,0.0005,1.0,0.1,0.2,2,5,0.36348684210526316
46,film,0.01,40,0.0005,1.0,1.0,0.2,2,1,0.3630263157894737
47,film,0.01,40,0.0005,1.0,1.0,0.2,1,5,0.3648684210526316
48,film,0.01,40,0.0005,1.0,1.0,0.8,2,5,0.36355263157894735
49,film,0.1,40,0.0005,1.0,1.0,0.2,2,5,0.3596052631578947
50,film,0.01,40,0.0005,1.0,1.0,0.2,2,5,0.3638815789473684
51,film,0.01,40,0.0,1.0,1.0,0.2,2,5,0.34960526315789475
52,film,0.01,40,0.0005,0.1,1.0,0.2,2,5,0.3640131578947368
53,film,0.01,40,0.0005,1.0,1.0,0.2,2,3,0.36585526315789474
54,film,0.01,200,0.0005,1.0,1.0,0.2,2,5,0.3528289473684211
55,pubmed,0.01,40,0.0005,1.0,1.0,0.2,1,5,0.8699797160243408
56,pubmed,0.01,40,0.0005,1.0,1.0,0.2,2,3,0.8702586206896553
57,pubmed,0.01,40,0.0005,1.0,1.0,0.2,2,5,0.8700557809330629
58,pubmed,0.1,40,0.0005,1.0,1.0,0.2,2,5,0.8421653144016228
59,pubmed,0.01,40,0.0005,1.0,0.1,0.2,2,5,0.8700304259634889
60,pubmed,0.01,40,0.0005,1.0,1.0,0.2,2,1,0.8703093306288032
61,pubmed,0.01,200,0.0005,1.0,1.0,0.2,2,5,0.8707403651115617
62,pubmed,0.01,40,0.0,1.0,1.0,0.2,2,5,0.8600152129817443
63,pubmed,0.01,40,0.0005,0.1,1.0,0.2,2,5,0.8698275862068966
64,pubmed,0.01,40,0.0005,1.0,1.0,0.8,2,5,0.8700050709939149
65,pubmed,0.001,40,0.0005,1.0,1.0,0.2,2,5,0.8692444219066937
66,squirrel,0.01,40,0.0005,1.0,1.0,0.2,1,5,0.27435158501440926
67,squirrel,0.01,40,0.0005,1.0,1.0,0.2,2,5,0.2761767531219981
68,squirrel,0.1,40,0.0005,1.0,1.0,0.2,2,5,0.28482228626320844
69,squirrel,0.01,40,0.0,1.0,1.0,0.2,2,5,0.29548511047070125
70,squirrel,0.01,40,0.0005,1.0,1.0,0.8,2,5,0.2734870317002881
71,squirrel,0.01,40,0.0005,1.0,0.1,0.2,2,5,0.27348703170028815
72,squirrel,0.01,200,0.0005,1.0,1.0,0.2,2,5,0.28924111431316046
73,squirrel,0.001,40,0.0005,1.0,1.0,0.2,2,5,0.2354466858789625
74,squirrel,0.01,40,0.0005,0.1,1.0,0.2,2,5,0.2717579250720461
75,squirrel,0.01,40,0.0005,1.0,1.0,0.2,2,1,0.27396733909702214
76,squirrel,0.01,40,0.0005,1.0,1.0,0.2,2,3,0.2752161383285302
77,texas,0.01,40,0.0005,1.0,1.0,0.2,2,3,0.7918918918918919
78,texas,0.01,40,0.0005,1.0,1.0,0.2,2,1,0.7972972972972971
79,texas,0.01,40,0.0005,1.0,1.0,0.2,2,5,0.7972972972972971
80,texas,0.01,40,0.0005,0.1,1.0,0.2,2,5,0.7972972972972973
81,texas,0.01,40,0.0005,1.0,1.0,0.2,1,5,0.7945945945945946
82,texas,0.1,40,0.0005,1.0,1.0,0.2,2,5,0.7432432432432433
83,texas,0.01,40,0.0005,1.0,1.0,0.8,2,5,0.7837837837837837
84,texas,0.01,40,0.0005,1.0,0.1,0.2,2,5,0.7891891891891891
85,texas,0.01,200,0.0005,1.0,1.0,0.2,2,5,0.7945945945945946
86,texas,0.001,40,0.0005,1.0,1.0,0.2,2,5,0.7783783783783784
87,texas,0.01,40,0.0,1.0,1.0,0.2,2,5,0.7486486486486487
88,wisconsin,0.01,40,0.0005,1.0,1.0,0.2,2,3,0.8509803921568627
89,wisconsin,0.1,40,0.0005,1.0,1.0,0.2,2,5,0.8274509803921568
90,wisconsin,0.01,200,0.0005,1.0,1.0,0.2,2,5,0.8529411764705882
91,wisconsin,0.01,40,0.0,1.0,1.0,0.2,2,5,0.8176470588235294
92,wisconsin,0.01,40,0.0005,1.0,1.0,0.2,1,5,0.8431372549019608
93,wisconsin,0.01,40,0.0005,0.1,1.0,0.2,2,5,0.8470588235294118
94,wisconsin,0.01,40,0.0005,1.0,1.0,0.2,2,1,0.8509803921568627
95,wisconsin,0.01,40,0.0005,1.0,1.0,0.8,2,5,0.8509803921568627
96,wisconsin,0.01,40,0.0005,1.0,1.0,0.2,2,5,0.8509803921568627
97,wisconsin,0.001,40,0.0005,1.0,1.0,0.2,2,5,0.8156862745098039
98,wisconsin,0.01,40,0.0005,1.0,0.1,0.2,2,5,0.8392156862745097
