,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,delta,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.0,1,2,2,1,0.6546052631578947
1,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.1,1,2,2,1,0.6574561403508772
2,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.2,1,2,2,1,0.6594298245614034
3,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.3,1,2,2,1,0.662938596491228
4,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.4,1,2,2,1,0.6677631578947368
5,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.6,1,2,2,1,0.6719298245614034
6,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.5,1,2,2,1,0.6723684210526317
7,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.7,1,2,2,1,0.675438596491228
8,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.8,1,2,2,1,0.6780701754385964
9,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,1.0,1,2,2,1,0.680701754385965
10,chameleon,0.01,0.0,200,0.0,0.0,100000000.0,0.0,0.9,1,2,2,1,0.6828947368421053
11,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.0,1,2,2,3,0.6765987955644708
12,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.1,1,2,2,3,0.6845904019946728
13,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.2,1,2,2,3,0.6979634444445165
14,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.3,1,2,2,3,0.7088741070213853
15,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.4,1,2,2,3,0.7192070191686979
16,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.5,1,2,2,3,0.7262867055993298
17,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.6,1,2,2,3,0.734769421973616
18,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.7,1,2,2,3,0.7427605513999029
19,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.8,1,2,2,3,0.7503106273027086
20,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,0.9,1,2,2,3,0.7615001587162956
21,citeseer,0.01,0.7,40,1e-05,0.0,1000.0,0.8,1.0,1,2,2,3,0.767806843072053
22,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.1,1,2,2,4,0.841851106639839
23,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.0,1,2,2,4,0.8424547283702213
24,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.2,1,2,2,4,0.8452716297786722
25,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.3,1,2,2,4,0.8476861167002012
26,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.4,1,2,2,4,0.8513078470824949
27,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.5,1,2,2,4,0.8565392354124748
28,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.6,1,2,2,4,0.86056338028169
29,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.7,1,2,2,4,0.8672032193158954
30,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.8,1,2,2,4,0.8716297786720322
31,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,1.0,1,2,2,4,0.8756539235412475
32,cora,0.01,0.8,40,1e-05,0.0,1000.0,0.8,0.9,1,2,2,4,0.8780684104627765
33,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.1,1,2,2,1,0.43243243243243246
34,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.2,1,2,2,1,0.44054054054054054
35,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.0,1,2,2,1,0.4432432432432433
36,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.3,1,2,2,1,0.4783783783783783
37,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.4,1,2,2,1,0.48918918918918913
38,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.5,1,2,2,1,0.5432432432432432
39,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.6,1,2,2,1,0.5864864864864864
40,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.7,1,2,2,1,0.6324324324324324
41,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.8,1,2,2,1,0.7108108108108109
42,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,0.9,1,2,2,1,0.772972972972973
43,cornell,0.01,0.0,200,5e-05,0.0,1.0,0.0,1.0,1,2,2,1,0.835135135135135
44,film,0.01,0.0,40,0.001,0.0,1000.0,0.1,0.0,1,2,2,6,0.2524342105263158
45,film,0.01,0.0,40,0.001,0.0,1000.0,0.1,0.1,1,2,2,6,0.2708552631578947
46,film,0.01,0.0,40,0.001,0.0,1000.0,0.1,0.2,1,2,2,6,0.30953947368421053
47,film,0.01,0.0,40,0.001,0.0,1000.0,0.1,0.3,1,2,2,6,0.33763157894736845
48,film,0.01,0.0,40,0.001,0.0,1000.0,0.1,0.4,1,2,2,6,0.3501315789473684
49,film,0.01,0.0,40,0.001,0.0,1000.0,0.1,0.5,1,2,2,6,0.35986842105263156
50,film,0.01,0.0,40,0.001,0.0,1000.0,0.1,0.6,1,2,2,6,0.36434210526315786
