,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
0,chameleon,0.01,0.2,200,5e-05,0.1,0.1,0.6,2,3,0.4557017543859649
1,chameleon,0.01,0.2,200,5e-05,0.1,0.1,0.4,2,3,0.45614035087719296
2,chameleon,0.01,0.2,200,5e-05,0.1,0.1,0.8,2,3,0.45614035087719296
3,chameleon,0.01,0.6,200,5e-05,0.1,0.1,0.2,2,3,0.4567982456140351
4,chameleon,0.01,0.6,200,5e-05,0.1,0.1,0.6,2,3,0.4572368421052631
5,chameleon,0.01,0.6,200,5e-05,0.1,0.1,0.4,2,3,0.45723684210526316
6,chameleon,0.01,0.2,200,5e-05,0.1,0.1,0.2,2,3,0.4576754385964912
7,chameleon,0.01,0.4,200,5e-05,0.1,0.1,0.2,2,3,0.45789473684210524
8,chameleon,0.01,0.6,200,5e-05,0.1,0.1,0.8,2,3,0.45789473684210524
9,chameleon,0.01,0.8,200,5e-05,0.1,0.1,0.2,2,3,0.45833333333333337
10,chameleon,0.01,0.4,200,5e-05,0.1,0.1,0.4,2,3,0.45855263157894727
11,chameleon,0.01,0.8,200,5e-05,0.1,0.1,0.4,2,3,0.45855263157894743
12,chameleon,0.01,0.4,200,5e-05,0.1,0.1,0.8,2,3,0.45964912280701753
13,chameleon,0.01,0.4,200,5e-05,0.1,0.1,0.6,2,3,0.46008771929824555
14,chameleon,0.01,0.2,200,1e-06,0.1,0.1,0.6,2,3,0.4688596491228069
15,chameleon,0.01,0.2,200,1e-06,0.1,0.1,0.8,2,3,0.4710526315789473
16,chameleon,0.01,0.6,200,1e-06,0.1,0.1,0.4,2,3,0.47105263157894744
17,chameleon,0.01,0.2,200,1e-06,0.1,0.1,0.4,2,3,0.47127192982456145
18,chameleon,0.01,0.6,200,1e-06,0.1,0.1,0.2,2,3,0.47171052631578947
19,chameleon,0.01,0.4,200,1e-06,0.1,0.1,0.4,2,3,0.4719298245614034
20,chameleon,0.01,0.4,200,1e-06,0.1,0.1,0.6,2,3,0.4719298245614036
21,chameleon,0.01,0.2,200,1e-06,0.1,0.1,0.2,2,3,0.4732456140350877
22,chameleon,0.01,0.6,200,1e-06,0.1,0.1,0.6,2,3,0.4732456140350877
23,chameleon,0.01,0.6,200,1e-07,0.1,0.1,0.2,2,3,0.4734649122807017
24,chameleon,0.01,0.8,200,1e-06,0.1,0.1,0.4,2,3,0.4734649122807018
25,chameleon,0.01,0.4,200,1e-06,0.1,0.1,0.8,2,3,0.47390350877192977
26,chameleon,0.01,0.8,200,1e-07,0.1,0.1,0.4,2,3,0.47412280701754383
27,chameleon,0.01,0.4,200,1e-07,0.1,0.1,0.4,2,3,0.4743421052631579
28,chameleon,0.01,0.8,200,1e-06,0.1,0.1,0.2,2,3,0.4743421052631579
29,chameleon,0.01,0.6,200,1e-07,0.1,0.1,0.4,2,3,0.47434210526315795
30,chameleon,0.01,0.6,200,1e-06,0.1,0.1,0.8,2,3,0.474561403508772
31,chameleon,0.01,0.2,200,1e-07,0.1,0.1,0.2,2,3,0.47478070175438597
32,chameleon,0.01,0.8,200,1e-07,0.1,0.1,0.2,2,3,0.47478070175438597
33,chameleon,0.01,0.4,200,1e-06,0.1,0.1,0.2,2,3,0.4749999999999999
34,chameleon,0.01,0.8,200,1e-06,0.1,0.1,0.8,2,3,0.475
35,chameleon,0.01,0.4,200,1e-07,0.1,0.1,0.8,2,3,0.47521929824561404
36,chameleon,0.01,0.4,200,1e-07,0.1,0.1,0.6,2,3,0.4754385964912281
37,chameleon,0.01,0.6,200,1e-07,0.1,0.1,0.6,2,3,0.4754385964912281
