,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_layers,orders,accuracy
0,chameleon,0.01,0.5,40,0.0005,10.0,1.0,0.1,2,3,0.36513157894736836
1,chameleon,0.01,0.5,40,0.0005,10.0,0.5,0.1,2,3,0.3653508771929825
2,chameleon,0.01,0.5,40,0.0005,10.0,0.1,0.1,2,3,0.37412280701754386
3,chameleon,0.01,0.5,40,0.0005,10.0,10.0,0.1,2,3,0.40109649122807023
4,chameleon,0.01,0.5,40,0.0005,1.0,10.0,0.1,2,3,0.44035087719298244
5,chameleon,0.01,0.5,40,0.0005,0.5,10.0,0.1,2,3,0.44232456140350873
6,chameleon,0.01,0.5,40,0.0005,0.1,10.0,0.1,2,3,0.443859649122807
7,chameleon,0.01,0.5,40,0.0005,10.0,10.0,0.5,2,3,0.4440789473684211
8,chameleon,0.01,0.5,40,0.0005,1.0,1.0,0.1,2,3,0.4447368421052632
9,chameleon,0.01,0.5,40,0.0005,1.0,0.5,0.1,2,3,0.4462719298245615
10,chameleon,0.01,0.5,40,0.0005,10.0,0.5,0.5,2,3,0.4469298245614035
11,chameleon,0.01,0.5,40,0.0005,10.0,0.1,0.5,2,3,0.4471491228070176
12,chameleon,0.01,0.5,40,0.0005,1.0,10.0,0.9,2,3,0.4473684210526316
13,chameleon,0.01,0.5,40,0.0005,1.0,10.0,0.5,2,3,0.44758771929824553
14,chameleon,0.01,0.5,40,0.0005,0.5,10.0,0.9,2,3,0.44758771929824565
15,chameleon,0.01,0.5,40,0.0005,10.0,1.0,0.5,2,3,0.44758771929824565
16,chameleon,0.01,0.5,40,0.0005,1.0,0.1,0.1,2,3,0.4480263157894736
17,chameleon,0.01,0.5,40,0.0005,0.1,10.0,0.9,2,3,0.4480263157894737
18,chameleon,0.01,0.5,40,0.0005,0.5,10.0,0.5,2,3,0.44824561403508767
19,chameleon,0.01,0.5,40,0.0005,10.0,10.0,0.9,2,3,0.4482456140350878
20,chameleon,0.01,0.5,40,0.0005,0.1,10.0,0.5,2,3,0.44846491228070173
21,chameleon,0.01,0.5,40,0.0005,10.0,0.1,0.9,2,3,0.4484649122807018
22,chameleon,0.01,0.5,40,0.0005,0.1,0.1,0.5,2,3,0.44868421052631574
23,chameleon,0.01,0.5,40,0.0005,1.0,1.0,0.9,2,3,0.44868421052631585
24,chameleon,0.01,0.5,40,0.0005,10.0,0.5,0.9,2,3,0.44868421052631585
25,chameleon,0.01,0.5,40,0.0005,10.0,1.0,0.9,2,3,0.44868421052631585
26,chameleon,0.01,0.5,40,0.0005,0.1,0.5,0.5,2,3,0.4493421052631579
27,chameleon,0.01,0.5,40,0.0005,0.5,0.5,0.5,2,3,0.4493421052631579
28,chameleon,0.01,0.5,40,0.0005,0.5,1.0,0.9,2,3,0.4493421052631579
29,chameleon,0.01,0.5,40,0.0005,0.5,0.1,0.1,2,3,0.449342105263158
30,chameleon,0.01,0.5,40,0.0005,1.0,0.5,0.9,2,3,0.449342105263158
31,chameleon,0.01,0.5,40,0.0005,0.1,1.0,0.5,2,3,0.44956140350877194
32,chameleon,0.01,0.5,40,0.0005,0.5,1.0,0.5,2,3,0.44956140350877194
33,chameleon,0.01,0.5,40,0.0005,0.5,1.0,0.1,2,3,0.449561403508772
34,chameleon,0.01,0.5,40,0.0005,0.5,0.1,0.5,2,3,0.44978070175438595
35,chameleon,0.01,0.5,40,0.0005,0.1,1.0,0.1,2,3,0.45
36,chameleon,0.01,0.5,40,0.0005,0.5,0.5,0.1,2,3,0.45000000000000007
37,chameleon,0.01,0.5,40,0.0005,1.0,0.1,0.9,2,3,0.450219298245614
38,chameleon,0.01,0.5,40,0.0005,1.0,1.0,0.5,2,3,0.450219298245614
