,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,chameleon,0.01,0.9,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.4324561403508772
1,chameleon,0.1,0.3,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.43991228070175437
2,chameleon,0.01,0.7,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.443859649122807
3,chameleon,0.01,0.5,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.45
4,chameleon,0.1,0.9,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.4508771929824561
5,chameleon,0.1,0.1,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.45087719298245615
6,chameleon,0.1,0.5,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.456578947368421
7,chameleon,0.01,0.3,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.45723684210526316
8,chameleon,0.1,0.1,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.4605263157894736
9,chameleon,0.01,0.9,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.4640350877192983
10,chameleon,0.1,0.3,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.46644736842105267
11,chameleon,0.01,0.7,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.46798245614035083
12,chameleon,0.01,0.1,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.468421052631579
13,chameleon,0.01,0.1,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.4688596491228071
14,chameleon,0.1,0.7,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.4697368421052631
15,chameleon,0.01,0.9,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.4714912280701754
16,chameleon,0.01,0.3,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.47171052631578947
17,chameleon,0.01,0.5,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.47171052631578947
18,chameleon,0.05,0.5,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.47214912280701754
19,chameleon,0.05,0.1,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.47631578947368425
20,chameleon,0.01,0.9,40,0.0,1.0,10000.0,0.9,2,2,3,3,0.4765350877192982
21,chameleon,0.01,0.9,40,1e-07,1.0,10000.0,0.9,2,2,3,3,0.47785087719298247
22,chameleon,0.01,0.9,40,1e-06,1.0,10000.0,0.9,2,2,3,3,0.47785087719298247
23,chameleon,0.1,0.1,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.47828947368421054
24,chameleon,0.01,0.7,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.47916666666666663
25,chameleon,0.01,0.5,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.4798245614035087
26,chameleon,0.1,0.3,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.48048245614035096
27,chameleon,0.01,0.1,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.4809210526315789
28,chameleon,0.05,0.3,40,0.0005,1.0,10000.0,0.9,2,2,3,3,0.4820175438596491
29,chameleon,0.01,0.3,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.48245614035087725
30,chameleon,0.05,0.1,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.4839912280701754
31,chameleon,0.1,0.1,40,1e-06,1.0,10000.0,0.9,2,2,3,3,0.4850877192982456
32,chameleon,0.05,0.3,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.4864035087719298
33,chameleon,0.05,0.5,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.48793859649122806
34,chameleon,0.1,0.7,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.488157894736842
35,chameleon,0.1,0.5,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.4881578947368421
36,chameleon,0.1,0.7,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.4883771929824562
37,chameleon,0.1,0.5,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.4885964912280702
38,chameleon,0.05,0.3,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.4885964912280702
39,chameleon,0.05,0.5,40,0.0001,1.0,10000.0,0.9,2,2,3,3,0.4885964912280702
40,chameleon,0.05,0.7,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.4896929824561404
41,chameleon,0.1,0.3,40,1e-06,1.0,10000.0,0.9,2,2,3,3,0.49210526315789477
42,chameleon,0.01,0.7,40,0.0,1.0,10000.0,0.9,2,2,3,3,0.4927631578947368
