,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,chameleon,0.01,0.3,250,5e-05,1.0,100000000.0,0.1,2,2,3,3,0.607017543859649
0,chameleon,0.01,0.7,250,5e-05,1.0,100000000.0,0.1,2,2,3,3,0.5848684210526316
0,chameleon,0.01,0.1,250,5e-05,1.0,100000000.0,0.1,2,2,3,3,0.5916666666666666
0,chameleon,0.01,0.3,250,5e-05,1.0,100000000.0,0.3,2,2,3,3,0.5807017543859648
0,chameleon,0.01,0.3,250,5e-05,1.0,1.0,0.8,2,2,3,3,0.5315789473684209
0,chameleon,0.01,0.7,250,0.0005,1.0,1.0,0.3,2,2,3,1,0.43114035087719305
1,chameleon,0.01,0.3,250,0.0005,1.0,1.0,0.7,2,2,3,1,0.4649122807017544
2,chameleon,0.01,0.7,250,0.0005,1.0,1.0,0.3,2,2,3,3,0.4649122807017544
3,chameleon,0.01,0.7,250,0.0005,1.0,1.0,0.7,2,2,3,1,0.4682017543859649
4,chameleon,0.01,0.7,250,0.0005,1.0,1.0,0.7,2,2,3,3,0.4745614035087719
5,chameleon,0.01,0.3,250,0.0005,1.0,1.0,0.7,2,2,3,3,0.47675438596491226
6,chameleon,0.01,0.3,250,0.0005,1.0,1.0,0.3,2,2,3,1,0.47828947368421054
7,chameleon,0.01,0.3,250,5e-06,1.0,1.0,0.3,2,2,3,1,0.4822368421052631
8,chameleon,0.01,0.3,250,0.0005,1.0,1.0,0.3,2,2,3,3,0.48267543859649137
9,chameleon,0.01,0.7,250,5e-06,1.0,1.0,0.3,2,2,3,1,0.4831140350877193
10,chameleon,0.01,0.7,250,5e-06,1.0,1.0,0.7,2,2,3,1,0.48684210526315785
11,chameleon,0.01,0.3,250,5e-06,1.0,1.0,0.3,2,2,3,3,0.48881578947368426
12,chameleon,0.01,0.7,250,5e-06,1.0,1.0,0.3,2,2,3,3,0.4903508771929824
13,chameleon,0.01,0.3,250,5e-06,1.0,1.0,0.7,2,2,3,1,0.5083333333333333
14,chameleon,0.01,0.7,250,5e-06,1.0,1.0,0.7,2,2,3,3,0.5142543859649122
15,chameleon,0.01,0.3,250,5e-06,1.0,1.0,0.7,2,2,3,3,0.530921052631579
