,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,cora,0.05,0.9,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.2963782696177063
1,cora,0.05,0.8,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.6744466800804829
2,cora,0.05,0.0,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.7323943661971831
3,cora,0.05,0.1,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.7422535211267607
4,cora,0.05,0.2,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.7468812877263582
5,cora,0.05,0.3,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.7517102615694166
6,cora,0.05,0.7,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.7527162977867203
7,cora,0.05,0.4,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.7545271629778674
8,cora,0.05,0.6,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.7579476861167003
9,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.7587525150905432
0,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.0,2,2,3,3,0.0818913480885312
1,cora,0.05,0.5,40,5e-05,1.0,10000.0,1.0,2,2,3,3,0.13983903420523142
2,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.7587525150905432
3,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.8,2,2,3,3,0.7637826961770624
4,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.7,2,2,3,3,0.7716297786720323
5,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.2,2,2,3,3,0.775251509054326
6,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.7754527162977867
7,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.5,2,2,3,3,0.7758551307847084
8,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.4,2,2,3,3,0.7780684104627766
9,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.3,2,2,3,3,0.7792756539235413
10,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.1,2,2,3,3,0.8484909456740443
0,cora,0.05,0.5,40,0.001,1.0,10000.0,0.1,2,2,3,3,0.34325955734406444
1,cora,0.05,0.5,40,0.0,1.0,10000.0,0.1,2,2,3,3,0.8362173038229377
2,cora,0.05,0.5,40,1e-07,1.0,10000.0,0.1,2,2,3,3,0.8372233400402415
3,cora,0.05,0.5,40,5e-07,1.0,10000.0,0.1,2,2,3,3,0.8376257545271631
4,cora,0.05,0.5,40,1e-06,1.0,10000.0,0.1,2,2,3,3,0.8380281690140846
5,cora,0.05,0.5,40,0.0005,1.0,10000.0,0.1,2,2,3,3,0.8384305835010061
6,cora,0.05,0.5,40,0.0001,1.0,10000.0,0.1,2,2,3,3,0.8386317907444669
7,cora,0.05,0.5,40,5e-06,1.0,10000.0,0.1,2,2,3,3,0.844466800804829
8,cora,0.05,0.5,40,5e-05,1.0,10000.0,0.1,2,2,3,3,0.8484909456740443
9,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8486921529175051
0,cora,0.05,0.5,40,1e-05,1.0,100.0,0.1,2,2,3,3,0.7545271629778673
1,cora,0.05,0.5,40,1e-05,1.0,0.1,0.1,2,2,3,3,0.7549295774647888
2,cora,0.05,0.5,40,1e-05,1.0,10.0,0.1,2,2,3,3,0.7571428571428572
3,cora,0.05,0.5,40,1e-05,1.0,0.01,0.1,2,2,3,3,0.7579476861167003
4,cora,0.05,0.5,40,1e-05,1.0,0.0,0.1,2,2,3,3,0.7583501006036218
5,cora,0.05,0.5,40,1e-05,1.0,1.0,0.1,2,2,3,3,0.760764587525151
6,cora,0.05,0.5,40,1e-05,1.0,1000000.0,0.1,2,2,3,3,0.8152917505030182
7,cora,0.05,0.5,40,1e-05,1.0,100000000.0,0.1,2,2,3,3,0.8205231388329981
0,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8486921529175051
0,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.2,2,2,3,3,0.8432595573440643
1,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.4,2,2,3,3,0.8515090543259559
2,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.6,2,2,3,3,0.852112676056338
3,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.3,2,2,3,3,0.8523138832997988
4,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8541247484909456
5,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.5,2,2,3,3,0.8549295774647886
6,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.8,2,2,3,3,0.8643863179074446
7,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.9,2,2,3,3,0.8651911468812876
8,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.8661971830985916
0,cora,0.05,0.9,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.7732394366197183
1,cora,0.05,0.8,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.7979879275653923
2,cora,0.05,0.0,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.813682092555332
3,cora,0.05,0.6,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8362173038229376
4,cora,0.05,0.1,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8404426559356135
5,cora,0.05,0.2,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8442655935613683
6,cora,0.05,0.7,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8496981891348089
7,cora,0.05,0.5,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8541247484909456
8,cora,0.05,0.3,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.8543259557344065
9,cora,0.05,0.4,40,1e-05,1.0,10000.0,0.1,2,2,3,3,0.858953722334004
0,cora,0.05,0.9,40,1e-05,1.0,10000.0,0.7,2,2,3,3,0.49175050301810863
