,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,cora,0.01,0.0,40,1e-05,1000000.0,10000.0,0.1,1,2,3,4,0.7297786720321932
1,cora,0.01,0.0,40,5e-06,1000000.0,10000.0,0.1,1,2,3,4,0.7523138832997986
2,cora,0.01,0.0,100,1e-05,1000000.0,10000.0,0.1,1,2,3,4,0.758148893360161
3,cora,0.01,0.0,40,1e-06,1000000.0,10000.0,0.1,1,2,3,4,0.7657947686116701
4,cora,0.01,0.1,40,1e-05,1000000.0,10000.0,0.1,1,2,3,4,0.784507042253521
5,cora,0.01,0.0,100,5e-06,1000000.0,10000.0,0.1,1,2,3,4,0.7853118712273641
6,cora,0.01,0.1,40,5e-06,1000000.0,10000.0,0.1,1,2,3,4,0.7861167002012073
7,cora,0.01,0.0,200,1e-05,1000000.0,10000.0,0.1,1,2,3,4,0.7883299798792756
8,cora,0.01,0.0,100,1e-06,1000000.0,10000.0,0.1,1,2,3,4,0.7919517102615694
9,cora,0.01,0.1,40,1e-06,1000000.0,10000.0,0.1,1,2,3,4,0.7945674044265594
10,cora,0.01,0.0,200,5e-06,1000000.0,10000.0,0.1,1,2,3,4,0.8054325955734406
11,cora,0.01,0.0,200,1e-06,1000000.0,10000.0,0.1,1,2,3,4,0.8092555331991951
12,cora,0.01,0.0,40,1e-06,1000000.0,10000.0,0.2,1,2,3,4,0.8432595573440643
13,cora,0.01,0.0,40,5e-06,1000000.0,10000.0,0.2,1,2,3,4,0.8466800804828974
14,cora,0.01,0.0,40,1e-05,1000000.0,10000.0,0.2,1,2,3,4,0.8474849094567404
15,cora,0.01,0.0,200,1e-05,1000000.0,10000.0,0.2,1,2,3,4,0.8480885311871227
16,cora,0.01,0.0,200,5e-06,1000000.0,10000.0,0.2,1,2,3,4,0.8482897384305834
17,cora,0.01,0.0,100,5e-06,1000000.0,10000.0,0.2,1,2,3,4,0.849496981891348
18,cora,0.01,0.0,100,1e-05,1000000.0,10000.0,0.2,1,2,3,4,0.8505030181086518
19,cora,0.01,0.0,200,1e-06,1000000.0,10000.0,0.2,1,2,3,4,0.8507042253521127
20,cora,0.01,0.0,200,1e-05,1000000.0,10000.0,0.3,1,2,3,4,0.8519114688128772
21,cora,0.01,0.0,100,1e-06,1000000.0,10000.0,0.2,1,2,3,4,0.8529175050301809
22,cora,0.01,0.0,200,5e-06,1000000.0,10000.0,0.3,1,2,3,4,0.8561368209255533
23,cora,0.01,0.0,200,1e-06,1000000.0,10000.0,0.3,1,2,3,4,0.8593561368209256
24,cora,0.01,0.1,40,1e-06,1000000.0,10000.0,0.2,1,2,3,4,0.8599597585513079
25,cora,0.01,0.0,40,1e-06,1000000.0,10000.0,0.3,1,2,3,4,0.8607645875251508
26,cora,0.01,0.0,100,1e-05,1000000.0,10000.0,0.3,1,2,3,4,0.8623742454728369
27,cora,0.01,0.0,100,1e-06,1000000.0,10000.0,0.3,1,2,3,4,0.8633802816901408
28,cora,0.01,0.1,40,5e-06,1000000.0,10000.0,0.2,1,2,3,4,0.8633802816901408
29,cora,0.01,0.0,100,5e-06,1000000.0,10000.0,0.3,1,2,3,4,0.8645875251509054
30,cora,0.01,0.0,40,5e-06,1000000.0,10000.0,0.3,1,2,3,4,0.8651911468812878
31,cora,0.01,0.1,40,1e-05,1000000.0,10000.0,0.2,1,2,3,4,0.8655935613682091
32,cora,0.01,0.1,40,1e-06,1000000.0,10000.0,0.3,1,2,3,4,0.8665995975855131
33,cora,0.01,0.0,40,1e-05,1000000.0,10000.0,0.3,1,2,3,4,0.8670020120724345
34,cora,0.01,0.1,40,1e-05,1000000.0,10000.0,0.3,1,2,3,4,0.8676056338028169
35,cora,0.01,0.1,40,5e-06,1000000.0,10000.0,0.3,1,2,3,4,0.8684104627766599
