,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,cornell,0.05,0.9,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.6027027027027028
1,cornell,0.05,0.8,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.7054054054054054
2,cornell,0.05,0.6,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.7486486486486487
3,cornell,0.05,0.7,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.7594594594594595
4,cornell,0.05,0.2,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.772972972972973
5,cornell,0.05,0.4,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.7756756756756757
6,cornell,0.05,0.1,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.7783783783783783
7,cornell,0.05,0.3,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.7810810810810811
8,cornell,0.05,0.5,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.7864864864864864
9,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.8513513513513514
0,cornell,0.05,0.0,40,0.001,1.0,0.1,0.6,2,2,3,3,0.6378378378378379
1,cornell,0.05,0.0,40,0.0005,1.0,0.1,0.6,2,2,3,3,0.6405405405405407
2,cornell,0.05,0.0,40,1e-07,1.0,0.1,0.6,2,2,3,3,0.7594594594594594
3,cornell,0.05,0.0,40,0.0,1.0,0.1,0.6,2,2,3,3,0.7621621621621621
4,cornell,0.05,0.0,40,1e-06,1.0,0.1,0.6,2,2,3,3,0.772972972972973
5,cornell,0.05,0.0,40,5e-07,1.0,0.1,0.6,2,2,3,3,0.7783783783783784
6,cornell,0.05,0.0,40,5e-06,1.0,0.1,0.6,2,2,3,3,0.7918918918918918
7,cornell,0.05,0.0,40,1e-05,1.0,0.1,0.6,2,2,3,3,0.8243243243243242
8,cornell,0.05,0.0,40,0.0001,1.0,0.1,0.6,2,2,3,3,0.8297297297297298
9,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.8513513513513514
0,cornell,0.05,0.0,40,5e-05,1.0,0.1,1.0,2,2,3,3,0.12972972972972974
1,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.0,2,2,3,3,0.15675675675675677
2,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.1,2,2,3,3,0.8216216216216216
3,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.2,2,2,3,3,0.8216216216216216
4,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.3,2,2,3,3,0.8216216216216216
5,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.4,2,2,3,3,0.8216216216216216
6,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.5,2,2,3,3,0.8216216216216216
7,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.8,2,2,3,3,0.827027027027027
8,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.8297297297297297
9,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.7,2,2,3,3,0.8324324324324325
10,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.9,2,2,3,3,0.8324324324324325
0,cornell,0.05,0.0,40,5e-05,1.0,0.1,1.0,2,2,3,3,0.12972972972972974
1,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.0,2,2,3,3,0.15675675675675677
2,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.1,2,2,3,3,0.8216216216216216
3,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.2,2,2,3,3,0.8216216216216216
4,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.3,2,2,3,3,0.8216216216216216
5,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.4,2,2,3,3,0.8216216216216216
6,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.5,2,2,3,3,0.8216216216216216
7,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.8,2,2,3,3,0.827027027027027
8,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.8297297297297297
9,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.7,2,2,3,3,0.8324324324324325
10,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.9,2,2,3,3,0.8324324324324325
