,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.1,1,2,3,3,0.7594594594594594
1,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.2,1,2,3,3,0.818918918918919
2,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.7,1,2,3,3,0.818918918918919
3,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.9,1,2,3,3,0.8216216216216218
4,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.8,1,2,3,3,0.8243243243243243
5,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.6,1,2,3,3,0.827027027027027
6,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.3,1,2,3,3,0.8297297297297297
7,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.4,1,2,3,3,0.8297297297297297
8,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.5,1,2,3,3,0.8324324324324325
0,cornell,0.05,0.0,40,5e-05,0.0,1.0,0.5,1,2,3,3,0.7243243243243243
1,cornell,0.05,0.0,40,5e-05,1.0,10.0,0.5,1,2,3,3,0.7243243243243244
2,cornell,0.05,0.0,40,5e-05,0.05,10.0,0.5,1,2,3,3,0.727027027027027
3,cornell,0.05,0.0,40,5e-05,0.1,10.0,0.5,1,2,3,3,0.727027027027027
4,cornell,0.05,0.0,40,5e-05,0.01,10.0,0.5,1,2,3,3,0.7297297297297296
5,cornell,0.05,0.0,40,5e-05,0.0,10.0,0.5,1,2,3,3,0.7324324324324324
6,cornell,0.05,0.0,40,5e-05,0.01,1.0,0.5,1,2,3,3,0.7405405405405405
7,cornell,0.05,0.0,40,5e-05,0.05,1.0,0.5,1,2,3,3,0.745945945945946
8,cornell,0.05,0.0,40,5e-05,0.1,1.0,0.5,1,2,3,3,0.7513513513513514
9,cornell,0.05,0.0,40,5e-05,1.0,1.0,0.5,1,2,3,3,0.7513513513513514
10,cornell,0.05,0.0,40,5e-05,10.0,10.0,0.5,1,2,3,3,0.7648648648648649
11,cornell,0.05,0.0,40,5e-05,10.0,1.0,0.5,1,2,3,3,0.7945945945945947
12,cornell,0.05,0.0,40,5e-05,0.01,0.1,0.5,1,2,3,3,0.818918918918919
13,cornell,0.05,0.0,40,5e-05,0.0,0.1,0.5,1,2,3,3,0.8216216216216216
14,cornell,0.05,0.0,40,5e-05,0.05,0.1,0.5,1,2,3,3,0.8216216216216216
15,cornell,0.05,0.0,40,5e-05,0.1,0.1,0.5,1,2,3,3,0.8216216216216216
16,cornell,0.05,0.0,40,5e-05,0.0,0.05,0.5,1,2,3,3,0.827027027027027
17,cornell,0.05,0.0,40,5e-05,0.01,0.05,0.5,1,2,3,3,0.827027027027027
18,cornell,0.05,0.0,40,5e-05,0.05,0.05,0.5,1,2,3,3,0.827027027027027
19,cornell,0.05,0.0,40,5e-05,0.1,0.05,0.5,1,2,3,3,0.8297297297297297
20,cornell,0.05,0.0,40,5e-05,0.1,0.0,0.5,1,2,3,3,0.8297297297297298
21,cornell,0.05,0.0,40,5e-05,0.1,0.01,0.5,1,2,3,3,0.8297297297297298
22,cornell,0.05,0.0,40,5e-05,0.01,0.0,0.5,1,2,3,3,0.8324324324324325
23,cornell,0.05,0.0,40,5e-05,1.0,0.05,0.5,1,2,3,3,0.8324324324324325
24,cornell,0.05,0.0,40,5e-05,1.0,0.1,0.5,1,2,3,3,0.8324324324324325
25,cornell,0.05,0.0,40,5e-05,0.05,0.01,0.5,1,2,3,3,0.835135135135135
26,cornell,0.05,0.0,40,5e-05,10.0,0.1,0.5,1,2,3,3,0.835135135135135
27,cornell,0.05,0.0,40,5e-05,1.0,0.01,0.5,1,2,3,3,0.8351351351351353
28,cornell,0.05,0.0,40,5e-05,0.0,0.01,0.5,1,2,3,3,0.8378378378378379
29,cornell,0.05,0.0,40,5e-05,0.05,0.0,0.5,1,2,3,3,0.8378378378378379
30,cornell,0.05,0.0,40,5e-05,1.0,0.0,0.5,1,2,3,3,0.8378378378378379
31,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.5,1,2,3,3,0.8405405405405405
32,cornell,0.05,0.0,40,5e-05,10.0,0.0,0.5,1,2,3,3,0.8405405405405405
33,cornell,0.05,0.0,40,5e-05,10.0,0.01,0.5,1,2,3,3,0.8405405405405405
34,cornell,0.05,0.0,40,5e-05,10.0,0.05,0.5,1,2,3,3,0.8405405405405405
0,cornell,0.01,0.0,40,5e-05,0.01,0.01,0.5,1,2,3,3,0.818918918918919
1,cornell,0.1,0.0,100,5e-05,0.01,0.01,0.5,1,2,3,3,0.818918918918919
2,cornell,0.1,0.0,200,5e-05,0.01,0.01,0.5,1,2,3,3,0.8243243243243242
3,cornell,0.01,0.0,100,5e-05,0.01,0.01,0.5,1,2,3,3,0.8297297297297297
4,cornell,0.01,0.0,200,5e-05,0.01,0.01,0.5,1,2,3,3,0.8297297297297297
5,cornell,0.05,0.0,200,5e-05,0.01,0.01,0.5,1,2,3,3,0.835135135135135
6,cornell,0.05,0.0,100,5e-05,0.01,0.01,0.5,1,2,3,3,0.8378378378378379
7,cornell,0.1,0.0,40,5e-05,0.01,0.01,0.5,1,2,3,3,0.8378378378378379
8,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.5,1,2,3,3,0.8405405405405405
0,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.5,1,2,3,4,0.8243243243243242
1,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.5,1,2,3,5,0.8243243243243243
2,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.5,1,2,3,1,0.8378378378378379
3,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.5,1,2,3,3,0.8405405405405405
4,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.5,1,2,3,2,0.845945945945946
0,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.0,1,2,3,2,0.8378378378378377
1,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.3,1,2,3,2,0.8378378378378379
2,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.2,1,2,3,2,0.8405405405405405
3,cornell,0.05,0.0,40,5e-05,0.01,0.01,0.1,1,2,3,2,0.8432432432432433
0,cornell,0.05,0.4,40,5e-05,0.01,0.01,0.5,1,2,3,2,0.7810810810810811
1,cornell,0.05,0.3,40,5e-05,0.01,0.01,0.5,1,2,3,2,0.7891891891891891
2,cornell,0.05,0.2,40,5e-05,0.01,0.01,0.5,1,2,3,2,0.7918918918918918
3,cornell,0.05,0.1,40,5e-05,0.01,0.01,0.5,1,2,3,2,0.8081081081081081
0,cornell,0.05,0.0,40,0.0,0.01,0.01,0.5,1,2,3,2,0.7513513513513514
1,cornell,0.05,0.0,40,0.001,0.01,0.01,0.5,1,2,3,2,0.7594594594594593
2,cornell,0.05,0.0,40,5e-07,0.01,0.01,0.5,1,2,3,2,0.7675675675675675
3,cornell,0.05,0.0,40,1e-07,0.01,0.01,0.5,1,2,3,2,0.7702702702702702
4,cornell,0.05,0.0,40,1e-06,0.01,0.01,0.5,1,2,3,2,0.7729729729729728
5,cornell,0.05,0.0,40,5e-06,0.01,0.01,0.5,1,2,3,2,0.7864864864864864
6,cornell,0.05,0.0,40,0.0005,0.01,0.01,0.5,1,2,3,2,0.7945945945945946
7,cornell,0.05,0.0,40,1e-05,0.01,0.01,0.5,1,2,3,2,0.8027027027027026
