,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,film,0.001,0.9,40,0.0005,10.0,10.0,0.0,2,2,3,3,0.11085526315789476
1,film,0.001,0.9,40,0.0005,10.0,10.0,1.0,2,2,3,3,0.11085526315789476
2,film,0.001,0.9,40,0.0005,10.0,10.0,0.1,2,2,3,3,0.2523684210526316
3,film,0.001,0.9,40,0.0005,10.0,10.0,0.2,2,2,3,3,0.2524342105263158
4,film,0.001,0.9,40,0.0005,10.0,10.0,0.3,2,2,3,3,0.2524342105263158
5,film,0.001,0.9,40,0.0005,10.0,10.0,0.4,2,2,3,3,0.2539473684210526
6,film,0.001,0.9,40,0.0005,10.0,10.0,0.5,2,2,3,3,0.25684210526315787
7,film,0.001,0.9,40,0.0005,10.0,10.0,0.6,2,2,3,3,0.2590131578947369
8,film,0.001,0.9,40,0.0005,10.0,10.0,0.7,2,2,3,3,0.25980263157894734
9,film,0.001,0.9,40,0.0005,10.0,10.0,0.8,2,2,3,3,0.26203947368421054
10,film,0.001,0.9,40,0.0005,10.0,10.0,0.9,2,2,3,3,0.2625
