,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,film,0.001,0.0,40,0.001,0.1,10.0,0.2,1,2,3,3,0.36539473684210527
1,film,0.001,0.0,40,0.001,1.0,1.0,0.2,1,2,3,1,0.36578947368421055
2,film,0.001,0.0,40,0.001,1.0,1.0,0.2,1,2,3,3,0.3667105263157894
3,film,0.001,0.0,40,0.001,1.0,1.0,0.2,1,2,3,2,0.36671052631578943
4,film,0.001,0.0,40,0.001,0.1,0.1,0.2,1,2,3,4,0.3667105263157895
5,film,0.001,0.0,40,0.001,0.1,0.1,0.2,1,2,3,2,0.36697368421052634
6,film,0.001,0.0,40,0.001,0.1,0.1,0.2,1,2,3,3,0.36697368421052634
7,film,0.001,0.0,40,0.001,1.0,10.0,0.2,1,2,3,3,0.3670394736842105
8,film,0.001,0.0,40,0.001,1.0,1.0,0.2,1,2,3,4,0.36717105263157895
9,film,0.001,0.0,40,0.001,0.1,0.1,0.2,1,2,3,5,0.3673684210526316
10,film,0.001,0.0,40,0.001,1.0,1.0,0.2,1,2,3,5,0.36756578947368423
11,film,0.001,0.0,40,0.001,0.1,0.1,0.2,1,2,3,1,0.3677631578947368
12,film,0.001,0.0,40,0.001,0.1,1.0,0.2,1,2,3,5,0.36796052631578946
13,film,0.001,0.0,40,0.001,0.1,1.0,0.2,1,2,3,3,0.36815789473684213
14,film,0.001,0.0,40,0.001,0.1,10.0,0.2,1,2,3,1,0.3682236842105263
15,film,0.001,0.0,40,0.001,0.1,1.0,0.2,1,2,3,2,0.3682894736842105
16,film,0.001,0.0,40,0.001,1.0,0.1,0.2,1,2,3,5,0.3684210526315789
17,film,0.001,0.0,40,0.001,1.0,0.1,0.2,1,2,3,4,0.3684868421052632
18,film,0.001,0.0,40,0.001,1.0,0.1,0.2,1,2,3,3,0.3686184210526316
19,film,0.001,0.0,40,0.001,0.1,1.0,0.2,1,2,3,4,0.3689473684210526
20,film,0.001,0.0,40,0.001,1.0,10.0,0.2,1,2,3,5,0.36894736842105263
21,film,0.001,0.0,40,0.001,1.0,0.1,0.2,1,2,3,1,0.369078947368421
22,film,0.001,0.0,40,0.001,10.0,0.1,0.2,1,2,3,4,0.36907894736842106
23,film,0.001,0.0,40,0.001,10.0,10.0,0.2,1,2,3,1,0.36914473684210536
24,film,0.001,0.0,40,0.001,10.0,0.1,0.2,1,2,3,1,0.36927631578947373
25,film,0.001,0.0,40,0.001,1.0,10.0,0.2,1,2,3,1,0.3693421052631579
26,film,0.001,0.0,40,0.001,10.0,0.1,0.2,1,2,3,5,0.3694736842105263
27,film,0.001,0.0,40,0.001,0.1,10.0,0.2,1,2,3,4,0.3695394736842105
28,film,0.001,0.0,40,0.001,1.0,0.1,0.2,1,2,3,2,0.36953947368421053
29,film,0.001,0.0,40,0.001,0.1,10.0,0.2,1,2,3,2,0.3696052631578947
30,film,0.001,0.0,40,0.001,0.1,1.0,0.2,1,2,3,1,0.36973684210526314
31,film,0.001,0.0,40,0.001,10.0,1.0,0.2,1,2,3,4,0.3697368421052632
32,film,0.001,0.0,40,0.001,10.0,10.0,0.2,1,2,3,3,0.36986842105263157
33,film,0.001,0.0,40,0.001,10.0,0.1,0.2,1,2,3,3,0.36993421052631575
34,film,0.001,0.0,40,0.001,10.0,1.0,0.2,1,2,3,5,0.3699342105263158
35,film,0.001,0.0,40,0.001,1.0,10.0,0.2,1,2,3,2,0.3700657894736842
36,film,0.001,0.0,40,0.001,10.0,1.0,0.2,1,2,3,2,0.37006578947368424
37,film,0.001,0.0,40,0.001,10.0,0.1,0.2,1,2,3,2,0.37019736842105266
38,film,0.001,0.0,40,0.001,10.0,10.0,0.2,1,2,3,4,0.37019736842105266
39,film,0.001,0.0,40,0.001,10.0,1.0,0.2,1,2,3,1,0.3705921052631579
40,film,0.001,0.0,40,0.001,10.0,10.0,0.2,1,2,3,5,0.3705921052631579
41,film,0.001,0.0,40,0.001,0.1,10.0,0.2,1,2,3,5,0.37092105263157893
42,film,0.001,0.0,40,0.001,10.0,1.0,0.2,1,2,3,3,0.3711842105263158
43,film,0.001,0.0,40,0.001,10.0,10.0,0.2,1,2,3,2,0.3711842105263158
44,film,0.001,0.0,40,0.001,1.0,10.0,0.2,1,2,3,4,0.3715789473684211
