,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.0,2,2,3,3,0.20808823529411766
1,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,1.0,2,2,3,3,0.20808823529411766
2,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.1,2,2,3,3,0.8694219066937119
3,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.2,2,2,3,3,0.8766480730223123
4,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.3,2,2,3,3,0.878524340770791
5,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.4,2,2,3,3,0.8809330628803245
6,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.9,2,2,3,3,0.881997971602434
7,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.5,2,2,3,3,0.8824290060851927
8,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.8,2,2,3,3,0.8831643002028399
9,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.7,2,2,3,3,0.8836713995943205
10,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8839249492900608
0,pubmed,0.01,0.9,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.7980223123732252
1,pubmed,0.01,0.8,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8460953346855982
2,pubmed,0.01,0.7,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8596095334685596
3,pubmed,0.01,0.6,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.868002028397566
4,pubmed,0.01,0.5,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8745689655172413
5,pubmed,0.01,0.4,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8774594320486816
6,pubmed,0.01,0.0,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8791075050709939
7,pubmed,0.01,0.3,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8815162271805275
8,pubmed,0.01,0.2,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8839249492900608
9,pubmed,0.01,0.1,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8840010141987829
0,pubmed,0.01,0.1,40,0.001,1.0,10000.0,0.6,2,2,3,3,0.8598630831643002
1,pubmed,0.01,0.1,40,0.0005,1.0,10000.0,0.6,2,2,3,3,0.8690669371196753
2,pubmed,0.01,0.1,40,0.0,1.0,10000.0,0.6,2,2,3,3,0.8752028397565923
3,pubmed,0.01,0.1,40,1e-07,1.0,10000.0,0.6,2,2,3,3,0.8766987829614605
4,pubmed,0.01,0.1,40,5e-07,1.0,10000.0,0.6,2,2,3,3,0.8769776876267749
5,pubmed,0.01,0.1,40,1e-06,1.0,10000.0,0.6,2,2,3,3,0.8776876267748479
6,pubmed,0.01,0.1,40,0.0001,1.0,10000.0,0.6,2,2,3,3,0.8811359026369168
7,pubmed,0.01,0.1,40,5e-06,1.0,10000.0,0.6,2,2,3,3,0.8825050709939148
8,pubmed,0.01,0.1,40,1e-05,1.0,10000.0,0.6,2,2,3,3,0.8837221095334685
9,pubmed,0.01,0.1,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8840010141987829
0,pubmed,0.5,0.1,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8340517241379309
1,pubmed,0.1,0.1,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8730983772819473
2,pubmed,0.05,0.1,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8784229208924949
3,pubmed,0.001,0.1,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8787018255578094
4,pubmed,0.005,0.1,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8834178498985802
5,pubmed,0.01,0.1,40,5e-05,1.0,10000.0,0.6,2,2,3,3,0.8840010141987829
0,pubmed,0.01,0.1,40,5e-05,1.0,0.1,0.6,2,2,3,3,0.8780425963488844
1,pubmed,0.01,0.1,40,5e-05,1.0,1.0,0.6,2,2,3,3,0.8782200811359026
2,pubmed,0.01,0.1,40,5e-05,1.0,0.0,0.6,2,2,3,3,0.8784229208924949
3,pubmed,0.01,0.1,40,5e-05,1.0,100.0,0.6,2,2,3,3,0.8784989858012169
4,pubmed,0.01,0.1,40,5e-05,1.0,10.0,0.6,2,2,3,3,0.8786764705882352
5,pubmed,0.01,0.1,40,5e-05,1.0,100000000.0,0.6,2,2,3,3,0.8841531440162271
6,pubmed,0.01,0.1,40,5e-05,1.0,1000000.0,0.6,2,2,3,3,0.8842799188640973
0,pubmed,0.01,0.1,40,5e-05,100000000.0,1000000.0,0.6,2,2,3,3,0.8784482758620689
1,pubmed,0.01,0.1,40,5e-05,0.0,1000000.0,0.6,2,2,3,3,0.8839756592292088
2,pubmed,0.01,0.1,40,5e-05,0.1,1000000.0,0.6,2,2,3,3,0.8839756592292088
3,pubmed,0.01,0.1,40,5e-05,1.0,1000000.0,0.6,2,2,3,3,0.8842799188640973
4,pubmed,0.01,0.1,40,5e-05,100.0,1000000.0,0.6,2,2,3,3,0.8842799188640973
5,pubmed,0.01,0.1,40,5e-05,10.0,1000000.0,0.6,2,2,3,3,0.8844066937119676
6,pubmed,0.01,0.1,40,5e-05,1000000.0,1000000.0,0.6,2,2,3,3,0.8851419878296145
0,pubmed,0.01,0.1,40,5e-05,1000000.0,1000000.0,0.6,2,2,3,3,0.8851419878296145
1,pubmed,0.01,0.1,40,5e-05,1000000.0,1000000.0,0.6,2,2,3,5,0.8853701825557809
2,pubmed,0.01,0.1,40,5e-05,1000000.0,1000000.0,0.6,2,2,3,2,0.8859026369168357
3,pubmed,0.01,0.1,40,5e-05,1000000.0,1000000.0,0.6,2,2,3,4,0.8893509127789045
4,pubmed,0.01,0.1,40,5e-05,1000000.0,1000000.0,0.6,2,2,3,1,0.8934584178498985
0,pubmed,0.01,0.1,250,5e-05,1000000.0,1000000.0,0.6,2,2,3,1,0.8911511156186613
1,pubmed,0.01,0.1,200,5e-05,1000000.0,1000000.0,0.6,2,2,3,1,0.8918103448275861
2,pubmed,0.01,0.1,100,5e-05,1000000.0,1000000.0,0.6,2,2,3,1,0.8932555780933062
3,pubmed,0.01,0.1,40,5e-05,1000000.0,1000000.0,0.6,2,2,3,1,0.8934584178498985
0,pubmed,0.01,0.9,40,5e-05,1000000.0,1000000.0,0.6,2,2,3,1,0.8190922920892495
