,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,1.0,2,2,3,3,0.20826128722382325
1,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.9,2,2,3,3,0.2838616714697406
2,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.8,2,2,3,3,0.29145052833813645
3,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.7,2,2,3,3,0.2954851104707012
4,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.6,2,2,3,3,0.296926032660903
5,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.5,2,2,3,3,0.31037463976945245
6,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.4,2,2,3,3,0.32334293948126797
7,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.3,2,2,3,3,0.34726224783861664
8,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.2,2,2,3,3,0.3988472622478386
9,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.0,2,2,3,3,0.4067243035542747
10,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.4572526416906821
0,squirrel,0.05,0.9,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.21978866474543707
1,squirrel,0.05,0.8,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.2668587896253602
2,squirrel,0.05,0.7,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.34755043227665705
3,squirrel,0.05,0.6,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.4124879923150816
4,squirrel,0.05,0.5,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.43592699327569645
5,squirrel,0.05,0.4,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.45350624399615763
6,squirrel,0.05,0.0,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.4572526416906821
7,squirrel,0.05,0.2,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.4632084534101826
8,squirrel,0.05,0.1,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.465225744476465
9,squirrel,0.05,0.3,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.47002881844380395
0,squirrel,0.05,0.3,200,0.0,1.0,1000000.0,0.1,2,2,3,5,0.3484149855907781
1,squirrel,0.05,0.3,200,0.0,1.0,1000000.0,0.1,2,2,3,2,0.35840537944284334
2,squirrel,0.05,0.3,200,0.0,1.0,1000000.0,0.1,2,2,3,1,0.38078770413064367
3,squirrel,0.05,0.3,200,0.0,1.0,1000000.0,0.1,2,2,3,4,0.3992315081652257
4,squirrel,0.05,0.3,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.47002881844380395
0,squirrel,0.05,0.3,200,0.001,1.0,1000000.0,0.1,2,2,3,3,0.19923150816522572
1,squirrel,0.05,0.3,200,0.0005,1.0,1000000.0,0.1,2,2,3,3,0.2003842459173871
2,squirrel,0.05,0.3,200,1e-07,1.0,1000000.0,0.1,2,2,3,3,0.46705091258405373
3,squirrel,0.05,0.3,200,1e-06,1.0,1000000.0,0.1,2,2,3,3,0.4694524495677233
4,squirrel,0.05,0.3,200,0.0,1.0,1000000.0,0.1,2,2,3,3,0.47002881844380395
5,squirrel,0.05,0.3,200,5e-07,1.0,1000000.0,0.1,2,2,3,3,0.47166186359269935
6,squirrel,0.05,0.3,200,0.0001,1.0,1000000.0,0.1,2,2,3,3,0.4724303554274735
7,squirrel,0.05,0.3,200,5e-06,1.0,1000000.0,0.1,2,2,3,3,0.4750240153698367
8,squirrel,0.05,0.3,200,1e-05,1.0,1000000.0,0.1,2,2,3,3,0.4760806916426513
9,squirrel,0.05,0.3,200,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.47665706051873186
0,squirrel,0.001,0.3,200,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.21268011527377523
1,squirrel,0.5,0.3,200,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.2958693563880884
2,squirrel,0.005,0.3,200,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.40922190201729103
3,squirrel,0.1,0.3,200,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.4431316042267051
4,squirrel,0.01,0.3,200,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.4439961575408261
5,squirrel,0.05,0.3,200,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.47665706051873186
0,squirrel,0.05,0.3,40,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.35437079731027854
1,squirrel,0.05,0.3,100,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.4486071085494717
2,squirrel,0.05,0.3,200,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.47665706051873186
3,squirrel,0.05,0.3,250,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.4791546589817483
0,squirrel,0.05,0.3,250,5e-05,1.0,1.0,0.1,2,2,3,3,0.31642651296829966
1,squirrel,0.05,0.3,250,5e-05,1.0,0.1,0.1,2,2,3,3,0.31671469740634
2,squirrel,0.05,0.3,250,5e-05,1.0,0.0,0.1,2,2,3,3,0.3178674351585014
3,squirrel,0.05,0.3,250,5e-05,1.0,100.0,0.1,2,2,3,3,0.31796349663784823
4,squirrel,0.05,0.3,250,5e-05,1.0,10.0,0.1,2,2,3,3,0.31815561959654176
5,squirrel,0.05,0.3,250,5e-05,1.0,100000000.0,0.1,2,2,3,3,0.4569644572526417
6,squirrel,0.05,0.3,250,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.4791546589817483
0,squirrel,0.05,0.3,250,5e-05,100000000.0,1000000.0,0.1,2,2,3,3,0.3176753121998078
1,squirrel,0.05,0.3,250,5e-05,0.1,1000000.0,0.1,2,2,3,3,0.47713736791546585
2,squirrel,0.05,0.3,250,5e-05,100.0,1000000.0,0.1,2,2,3,3,0.47752161383285296
3,squirrel,0.05,0.3,250,5e-05,1.0,1000000.0,0.1,2,2,3,3,0.4791546589817483
4,squirrel,0.05,0.3,250,5e-05,10.0,1000000.0,0.1,2,2,3,3,0.47973102785782906
5,squirrel,0.05,0.3,250,5e-05,1000000.0,1000000.0,0.1,2,2,3,3,0.4799231508165226
6,squirrel,0.05,0.3,250,5e-05,0.0,1000000.0,0.1,2,2,3,3,0.4823246878001922
0,squirrel,0.05,0.9,250,5e-05,0.0,1000000.0,0.1,2,2,3,3,0.2217098943323727
1,squirrel,0.05,0.8,250,5e-05,0.0,1000000.0,0.1,2,2,3,3,0.2887608069164265
2,squirrel,0.05,0.7,250,5e-05,0.0,1000000.0,0.1,2,2,3,3,0.3709894332372719
3,squirrel,0.05,0.6,250,5e-05,0.0,1000000.0,0.1,2,2,3,3,0.4113352545629203
4,squirrel,0.05,0.5,250,5e-05,0.0,1000000.0,0.1,2,2,3,3,0.44457252641690675
5,squirrel,0.05,0.4,250,5e-05,0.0,1000000.0,0.1,2,2,3,3,0.4658021133525456
6,squirrel,0.05,0.3,250,5e-05,0.0,1000000.0,0.1,2,2,3,3,0.4823246878001922
