,dataset,lr,dropout,early_stopping,weight_decay,alpha,beta,gamma,norm_func_id,norm_layers,orders_func_id,orders,accuracy
0,wisconsin,0.05,0.1,40,0.0001,10.0,0.05,0.3,1,2,3,3,0.8274509803921568
1,wisconsin,0.05,0.1,40,0.0001,10.0,0.05,0.6,1,2,3,3,0.8372549019607842
2,wisconsin,0.05,0.1,40,0.0001,10.0,0.05,0.4,1,2,3,3,0.8392156862745097
3,wisconsin,0.05,0.1,40,0.0001,10.0,0.05,0.5,1,2,3,3,0.8392156862745097
4,wisconsin,0.05,0.1,40,0.0001,10.0,0.05,0.7,1,2,3,3,0.8450980392156862
0,wisconsin,0.05,0.1,40,0.0001,10.0,0.05,0.8,1,2,3,3,0.8392156862745097
1,wisconsin,0.05,0.1,40,0.0001,10.0,0.05,0.9,1,2,3,3,0.8411764705882352
2,wisconsin,0.05,0.1,40,0.0001,10.0,0.05,0.7,1,2,3,3,0.8450980392156862
0,wisconsin,0.05,0.1,40,0.0001,10.0,100.0,0.7,1,2,3,3,0.5568627450980392
1,wisconsin,0.05,0.1,40,0.0001,10.0,10000.0,0.7,1,2,3,3,0.7313725490196079
2,wisconsin,0.05,0.1,40,0.0001,10.0,1000000.0,0.7,1,2,3,3,0.7607843137254903
3,wisconsin,0.05,0.1,40,0.0001,10.0,100000000.0,0.7,1,2,3,3,0.7764705882352941
4,wisconsin,0.05,0.1,40,0.0001,10.0,10.0,0.7,1,2,3,3,0.8117647058823529
5,wisconsin,0.05,0.1,40,0.0001,10.0,1.0,0.7,1,2,3,3,0.8372549019607842
6,wisconsin,0.05,0.1,40,0.0001,10.0,0.0,0.7,1,2,3,3,0.8450980392156862
0,wisconsin,0.05,0.1,40,0.0001,10.0,0.05,0.7,1,2,3,3,0.8450980392156862
1,wisconsin,0.01,0.1,100,0.0001,10.0,0.05,0.7,1,2,3,3,0.8470588235294116
2,wisconsin,0.05,0.1,100,0.0001,10.0,0.05,0.7,1,2,3,3,0.8490196078431371
3,wisconsin,0.05,0.1,200,0.0001,10.0,0.05,0.7,1,2,3,3,0.8490196078431371
